Cod_setor,responsavelHomem,responsavelMulher,proporcaoHomem,proporcaoMulher
240810205060158,209,95,0.6875,0.3125
240810205060159,202,108,0.6516129032258065,0.34838709677419355
240810205060160,205,123,0.625,0.375
240810205060161,112,76,0.5957446808510638,0.40425531914893614
240810205060162,142,57,0.7135678391959799,0.2864321608040201
240810205060163,212,109,0.660436137071651,0.3395638629283489
240810205060164,84,45,0.6511627906976745,0.3488372093023256
240810205060165,24,16,0.6,0.4
240810205060166,232,176,0.5686274509803921,0.43137254901960786
240810205060167,254,142,0.6414141414141414,0.35858585858585856
240810205060168,260,130,0.6666666666666666,0.3333333333333333
240810205060169,179,137,0.5664556962025317,0.43354430379746833
240810205060170,107,54,0.6645962732919255,0.33540372670807456
240810205060171,191,81,0.7022058823529411,0.2977941176470588
240810205060172,157,90,0.6356275303643725,0.3643724696356275
240810205060173,140,170,0.45161290322580644,0.5483870967741935
240810205060174,195,129,0.6018518518518519,0.39814814814814814
240810205060175,98,143,0.4066390041493776,0.5933609958506224
240810205060176,263,195,0.574235807860262,0.425764192139738
240810205060177,238,111,0.6819484240687679,0.31805157593123207
240810205060178,172,77,0.6907630522088354,0.3092369477911647
240810205060179,46,88,0.34328358208955223,0.6567164179104478
240810205060180,252,113,0.6904109589041096,0.3095890410958904
240810205060181,213,79,0.7294520547945206,0.2705479452054795
240810205060182,200,95,0.6779661016949152,0.3220338983050847
240810205060183,237,116,0.6713881019830028,0.3286118980169972
240810205060184,118,63,0.6519337016574586,0.34806629834254144
240810205060185,70,100,0.4117647058823529,0.5882352941176471
240810205060186,169,79,0.6814516129032258,0.3185483870967742
240810205060187,157,64,0.7104072398190046,0.2895927601809955
240810205060188,145,119,0.5492424242424242,0.45075757575757575
240810205060189,277,115,0.7066326530612245,0.29336734693877553
240810205060190,310,109,0.7398568019093079,0.26014319809069214
240810205060191,177,119,0.597972972972973,0.40202702702702703
240810205060192,183,125,0.5941558441558441,0.40584415584415584
240810205060193,163,90,0.6442687747035574,0.3557312252964427
240810205060194,230,95,0.7076923076923077,0.2923076923076923
240810205060195,152,92,0.6229508196721312,0.3770491803278688
240810205060196,184,103,0.6411149825783972,0.3588850174216028
240810205060197,174,205,0.45910290237467016,0.5408970976253298
240810205060198,175,101,0.6340579710144928,0.36594202898550726
240810205060199,163,53,0.7546296296296297,0.24537037037037038
240810205060200,120,310,0.27906976744186046,0.7209302325581395
240810205060201,222,116,0.6568047337278107,0.3431952662721893
240810205060202,107,122,0.4672489082969432,0.5327510917030568
240810205060203,271,177,0.6049107142857143,0.3950892857142857
240810205060204,233,88,0.7258566978193146,0.27414330218068533
240810205060205,192,124,0.6075949367088608,0.3924050632911392
240810205060206,194,74,0.7238805970149254,0.27611940298507465
240810205060207,203,127,0.6151515151515151,0.38484848484848483
240810205060208,178,147,0.5476923076923077,0.4523076923076923
240810205060209,110,130,0.4583333333333333,0.5416666666666666
240810205060210,156,86,0.6446280991735537,0.35537190082644626
240810205060211,163,134,0.5488215488215489,0.4511784511784512
240810205060212,116,52,0.6904761904761905,0.30952380952380953
240810205060213,443,174,0.7179902755267423,0.2820097244732577
240810205060214,254,138,0.6479591836734694,0.3520408163265306
240810205060215,189,49,0.7941176470588235,0.20588235294117646
240810205060216,236,131,0.6430517711171662,0.3569482288828338
240810205060217,127,191,0.39937106918238996,0.60062893081761
240810205060218,141,76,0.6497695852534562,0.35023041474654376
240810205060219,106,53,0.6666666666666666,0.3333333333333333
240810205060220,108,99,0.5217391304347826,0.4782608695652174
240810205060221,92,117,0.44019138755980863,0.5598086124401914
240810205060222,63,71,0.4701492537313433,0.5298507462686567
240810205060223,73,122,0.37435897435897436,0.6256410256410256
240810205060224,156,136,0.5342465753424658,0.4657534246575342
240810205060225,113,78,0.5916230366492147,0.4083769633507853
240810205060226,144,100,0.5901639344262295,0.4098360655737705
240810205060227,100,62,0.6172839506172839,0.38271604938271603
240810205060228,137,86,0.6143497757847534,0.38565022421524664
240810205060229,142,70,0.6698113207547169,0.330188679245283
240810205060230,119,97,0.5509259259259259,0.44907407407407407
240810205060231,105,47,0.6907894736842105,0.3092105263157895
240810205060232,141,106,0.5708502024291497,0.4291497975708502
240810205060233,165,76,0.6846473029045643,0.3153526970954357
240810205060234,66,139,0.32195121951219513,0.6780487804878049
240810205060235,168,88,0.65625,0.34375
240810205060236,108,84,0.5625,0.4375
240810205060237,132,96,0.5789473684210527,0.42105263157894735
240810205060238,51,68,0.42857142857142855,0.5714285714285714
240810205060239,107,136,0.4403292181069959,0.5596707818930041
240810205060240,176,150,0.5398773006134969,0.4601226993865031
240810205060241,278,130,0.6813725490196079,0.31862745098039214
240810205060242,220,216,0.5045871559633027,0.4954128440366973
240810205060243,87,151,0.36554621848739494,0.634453781512605
240810205060244,173,104,0.6245487364620939,0.37545126353790614
240810205060245,165,90,0.6470588235294118,0.35294117647058826
240810205060246,193,76,0.7174721189591078,0.2825278810408922
240810205060247,77,130,0.3719806763285024,0.6280193236714976
240810205060248,93,69,0.5740740740740741,0.42592592592592593
240810205060249,154,78,0.6637931034482759,0.33620689655172414
240810205060250,114,94,0.5480769230769231,0.4519230769230769
240810205060251,128,99,0.5638766519823789,0.43612334801762115
240810205060252,121,64,0.654054054054054,0.34594594594594597
240810205060253,113,160,0.4139194139194139,0.5860805860805861
240810205060254,175,61,0.7415254237288136,0.2584745762711864
240810205060255,164,77,0.6804979253112033,0.31950207468879666
240810205060256,151,90,0.6265560165975104,0.37344398340248963
240810205060257,142,60,0.7029702970297029,0.297029702970297
240810205060258,154,98,0.6111111111111112,0.3888888888888889
240810205060259,77,165,0.3181818181818182,0.6818181818181818
240810205060260,153,92,0.6244897959183674,0.37551020408163266
240810205060261,112,82,0.5773195876288659,0.422680412371134
240810205060262,160,46,0.7766990291262136,0.22330097087378642
240810205060263,284,111,0.7189873417721518,0.2810126582278481
240810205060264,110,61,0.6432748538011696,0.3567251461988304
240810205060265,124,58,0.6813186813186813,0.31868131868131866
240810205060266,148,94,0.6115702479338843,0.3884297520661157
240810205060267,227,134,0.628808864265928,0.37119113573407203
240810205060268,153,37,0.8052631578947368,0.19473684210526315
240810205060269,196,108,0.6447368421052632,0.35526315789473684
240810205060270,102,84,0.5483870967741935,0.45161290322580644
240810205060271,303,98,0.7556109725685786,0.24438902743142144
240810205060272,117,60,0.6610169491525424,0.3389830508474576
240810205060273,72,41,0.6371681415929203,0.36283185840707965
240810205060274,135,79,0.6308411214953271,0.3691588785046729
240810205060275,217,110,0.6636085626911316,0.3363914373088685
240810205060276,153,63,0.7083333333333334,0.2916666666666667
240810205060277,84,81,0.509090909090909,0.4909090909090909
240810205060278,120,63,0.6557377049180327,0.3442622950819672
240810205060279,127,71,0.6414141414141414,0.35858585858585856
240810205060280,78,30,0.7222222222222222,0.2777777777777778
240810205060281,157,92,0.6305220883534136,0.36947791164658633
240810205060282,153,49,0.7574257425742574,0.24257425742574257
240810205060283,164,90,0.6456692913385826,0.3543307086614173
240810205060284,216,112,0.6585365853658537,0.34146341463414637
240810205060285,227,64,0.7800687285223368,0.21993127147766323
240810205060286,252,136,0.6494845360824743,0.35051546391752575
240810205060287,271,89,0.7527777777777778,0.24722222222222223
240810205060288,302,73,0.8053333333333333,0.19466666666666665
240810205060289,166,107,0.608058608058608,0.39194139194139194
240810205060290,91,170,0.3486590038314176,0.6513409961685823
240810205060291,129,174,0.42574257425742573,0.5742574257425742
240810205060292,131,65,0.6683673469387755,0.33163265306122447
240810205060293,182,114,0.6148648648648649,0.38513513513513514
240810205060294,116,65,0.6408839779005525,0.35911602209944754
240810205060295,136,84,0.6181818181818182,0.38181818181818183
240810205060296,170,144,0.5414012738853503,0.4585987261146497
240810205060297,182,83,0.6867924528301886,0.3132075471698113
240810205060298,175,108,0.6183745583038869,0.38162544169611307
240810205060299,96,76,0.5581395348837209,0.4418604651162791
240810205060300,161,123,0.5669014084507042,0.43309859154929575
240810205060301,284,97,0.7454068241469817,0.2545931758530184
240810205060302,134,95,0.5851528384279476,0.4148471615720524
240810205060303,250,123,0.6702412868632708,0.3297587131367292
240810205060304,169,88,0.6575875486381323,0.3424124513618677
240810205060305,307,100,0.7542997542997543,0.2457002457002457
240810205060306,59,81,0.42142857142857143,0.5785714285714286
240810205060307,56,26,0.6829268292682927,0.3170731707317073
240810205060308,77,46,0.6260162601626016,0.37398373983739835
240810205060309,20,43,0.31746031746031744,0.6825396825396826
240810205060310,101,100,0.5024875621890548,0.4975124378109453
240810205060311,261,154,0.6289156626506024,0.3710843373493976
240810205070001,173,85,0.6705426356589147,0.32945736434108525
240810205070002,205,72,0.740072202166065,0.259927797833935
240810205070003,143,82,0.6355555555555555,0.36444444444444446
240810205070004,223,160,0.5822454308093995,0.4177545691906005
240810205070005,193,71,0.7310606060606061,0.2689393939393939
240810205070006,220,135,0.6197183098591549,0.38028169014084506
240810205070007,141,101,0.5826446280991735,0.41735537190082644
240810205070008,239,138,0.6339522546419099,0.3660477453580902
240810205070009,126,100,0.5575221238938053,0.4424778761061947
240810205070010,170,143,0.5431309904153354,0.45686900958466453
240810205070011,189,132,0.5887850467289719,0.411214953271028
240810205070012,144,147,0.4948453608247423,0.5051546391752577
240810205070013,188,133,0.5856697819314641,0.4143302180685358
240810205070014,155,143,0.5201342281879194,0.4798657718120805
240810205070015,151,124,0.5490909090909091,0.4509090909090909
240810205070016,122,94,0.5648148148148148,0.4351851851851852
240810205070017,187,162,0.5358166189111748,0.46418338108882523
240810205070018,178,148,0.5460122699386503,0.4539877300613497
240810205070019,133,204,0.39465875370919884,0.6053412462908012
240810205070020,173,126,0.5785953177257525,0.4214046822742475
240810205070021,175,123,0.587248322147651,0.412751677852349
240810205070022,203,131,0.6077844311377245,0.39221556886227543
240810205070023,127,103,0.5521739130434783,0.44782608695652176
240810205070024,174,156,0.5272727272727272,0.4727272727272727
240810205070025,131,118,0.5261044176706827,0.4738955823293173
240810205070026,201,164,0.5506849315068493,0.44931506849315067
240810205070027,203,142,0.5884057971014492,0.4115942028985507
240810205070028,132,129,0.5057471264367817,0.4942528735632184
240810205070029,63,45,0.5833333333333334,0.4166666666666667
240810205070031,120,109,0.5240174672489083,0.4759825327510917
240810205070032,175,175,0.5,0.5
240810205070033,158,108,0.5939849624060151,0.40601503759398494
240810205070034,176,172,0.5057471264367817,0.4942528735632184
240810205070035,0,0,NaN,NaN
240810205070036,128,89,0.5898617511520737,0.41013824884792627
240810205070037,183,129,0.5865384615384616,0.41346153846153844
240810205070038,167,162,0.5075987841945289,0.49240121580547114
240810205070039,162,137,0.5418060200668896,0.45819397993311034
240810205070040,172,109,0.6120996441281139,0.3879003558718861
240810205070041,191,103,0.6496598639455783,0.35034013605442177
240810205070042,229,153,0.599476439790576,0.4005235602094241
240810205070043,0,0,NaN,NaN
240810205070044,233,152,0.6051948051948052,0.3948051948051948
240810205070045,136,132,0.5074626865671642,0.4925373134328358
240810205070046,186,120,0.6078431372549019,0.39215686274509803
240810205070047,163,135,0.5469798657718121,0.45302013422818793
240810205070048,139,138,0.5018050541516246,0.4981949458483754
240810205070049,230,103,0.6906906906906907,0.30930930930930933
240810205070050,270,124,0.6852791878172588,0.3147208121827411
240810205070051,143,149,0.4897260273972603,0.5102739726027398
240810205070052,106,126,0.45689655172413796,0.5431034482758621
240810205070053,130,73,0.6403940886699507,0.35960591133004927
240810205070054,0,0,NaN,NaN
240810205070055,152,128,0.5428571428571428,0.45714285714285713
240810205070056,101,91,0.5260416666666666,0.4739583333333333
240810205070057,221,131,0.6278409090909091,0.3721590909090909
240810205070058,156,127,0.5512367491166078,0.44876325088339225
240810205070059,282,306,0.47959183673469385,0.5204081632653061
240810205070060,142,156,0.47651006711409394,0.5234899328859061
240810205070061,180,127,0.5863192182410424,0.41368078175895767
240810205070062,153,82,0.6510638297872341,0.34893617021276596
240810205070063,155,81,0.6567796610169492,0.3432203389830508
240810205070064,255,132,0.6589147286821705,0.34108527131782945
240810205070065,196,127,0.6068111455108359,0.3931888544891641
240810205070066,147,65,0.6933962264150944,0.30660377358490565
240810205070067,129,70,0.6482412060301508,0.35175879396984927
240810205070068,210,148,0.5865921787709497,0.4134078212290503
240810205070069,141,101,0.5826446280991735,0.41735537190082644
240810205070070,229,175,0.5668316831683168,0.43316831683168316
240810205070071,167,113,0.5964285714285714,0.4035714285714286
240810205070072,127,75,0.6287128712871287,0.3712871287128713
240810205070073,258,88,0.7456647398843931,0.2543352601156069
240810205070074,114,102,0.5277777777777778,0.4722222222222222
240810205070075,55,28,0.6626506024096386,0.3373493975903614
240810205070076,183,178,0.5069252077562327,0.4930747922437673
240810205070077,120,156,0.43478260869565216,0.5652173913043478
240810205070078,87,86,0.5028901734104047,0.49710982658959535
240810205070079,228,114,0.6666666666666666,0.3333333333333333
240810205070080,182,182,0.5,0.5
240810205070081,84,85,0.4970414201183432,0.5029585798816568
240810205070082,171,131,0.5662251655629139,0.4337748344370861
240810205070083,172,106,0.6187050359712231,0.381294964028777
240810205070084,72,114,0.3870967741935484,0.6129032258064516
240810205070085,212,147,0.5905292479108635,0.40947075208913647
240810205070086,175,141,0.5537974683544303,0.4462025316455696
240810205070087,202,118,0.63125,0.36875
240810205070088,211,161,0.5672043010752689,0.4327956989247312
240810205070089,248,129,0.6578249336870027,0.3421750663129973
240810205070090,89,210,0.2976588628762542,0.7023411371237458
240810205070091,168,141,0.5436893203883495,0.4563106796116505
240810205070092,209,152,0.5789473684210527,0.42105263157894735
240810205070093,134,91,0.5955555555555555,0.40444444444444444
240810205070094,199,124,0.6160990712074303,0.38390092879256965
240810205070095,184,159,0.5364431486880467,0.46355685131195334
240810205070096,80,149,0.34934497816593885,0.6506550218340611
240810205070097,388,135,0.7418738049713193,0.25812619502868067
240810205070098,192,113,0.6295081967213115,0.3704918032786885
240810205070099,297,140,0.6796338672768879,0.32036613272311215
240810205070100,112,61,0.6473988439306358,0.35260115606936415
240810205070101,209,97,0.6830065359477124,0.31699346405228757
240810205070102,173,127,0.5766666666666667,0.42333333333333334
240810205070103,179,106,0.6280701754385964,0.3719298245614035
240810205070104,434,217,0.6666666666666666,0.3333333333333333
240810205070105,171,100,0.6309963099630996,0.36900369003690037
240810205070106,204,90,0.6938775510204082,0.30612244897959184
240810205070107,183,123,0.5980392156862745,0.4019607843137255
240810205070108,211,92,0.6963696369636964,0.30363036303630364
240810205070109,105,80,0.5675675675675675,0.43243243243243246
240810205070110,94,44,0.6811594202898551,0.3188405797101449
240810205070111,189,129,0.5943396226415094,0.4056603773584906
240810205070112,115,59,0.6609195402298851,0.3390804597701149
240810205070113,159,93,0.6309523809523809,0.36904761904761907
240810205070114,155,96,0.6175298804780877,0.38247011952191234
240810205070115,199,112,0.639871382636656,0.36012861736334406
240810205070116,164,41,0.8,0.2
240810205070117,172,113,0.6035087719298246,0.39649122807017545
240810205070118,65,62,0.5118110236220472,0.4881889763779528
240810205070119,195,134,0.5927051671732523,0.4072948328267477
240810205070120,186,108,0.6326530612244898,0.3673469387755102
240810205070121,200,99,0.6688963210702341,0.3311036789297659
240810205070122,205,83,0.7118055555555556,0.2881944444444444
240810205070123,204,145,0.5845272206303725,0.4154727793696275
240810205070124,201,127,0.6128048780487805,0.3871951219512195
240810205070125,109,57,0.6566265060240963,0.3433734939759036
240810205070126,123,134,0.4785992217898833,0.5214007782101168
240810205070127,262,310,0.458041958041958,0.541958041958042
240810205070128,20,14,0.5882352941176471,0.4117647058823529
240810205070129,155,197,0.4403409090909091,0.5596590909090909
240810205070130,109,54,0.6687116564417178,0.3312883435582822
240810205070131,166,150,0.5253164556962026,0.47468354430379744
240810205070132,83,67,0.5533333333333333,0.44666666666666666
240810205070133,172,121,0.5870307167235495,0.4129692832764505
240810205070134,206,132,0.6094674556213018,0.3905325443786982
240810205070135,126,60,0.6774193548387096,0.3225806451612903
240810205070136,178,144,0.5527950310559007,0.4472049689440994
240810205070137,207,67,0.7554744525547445,0.24452554744525548
240810205070138,62,35,0.6391752577319587,0.36082474226804123
240810205070139,67,44,0.6036036036036037,0.3963963963963964
240810205070140,238,106,0.6918604651162791,0.3081395348837209
240810205070141,285,132,0.6834532374100719,0.31654676258992803
240810205070142,286,151,0.6544622425629291,0.34553775743707094
240810205070143,248,116,0.6813186813186813,0.31868131868131866
240810205070144,92,42,0.6865671641791045,0.31343283582089554
240810205070145,95,36,0.7251908396946565,0.2748091603053435
240810205070146,89,69,0.5632911392405063,0.43670886075949367
240810205070147,355,162,0.6866537717601547,0.31334622823984526
240810205070148,133,90,0.5964125560538116,0.40358744394618834
240810205070149,103,84,0.5508021390374331,0.44919786096256686
240810205070150,156,131,0.5435540069686411,0.4564459930313589
240810205070151,95,34,0.7364341085271318,0.26356589147286824
240810205070152,179,159,0.5295857988165681,0.47041420118343197
240810205070153,81,65,0.5547945205479452,0.4452054794520548
240810205070154,211,87,0.7080536912751678,0.29194630872483224
240810205070155,137,99,0.5805084745762712,0.4194915254237288
240810205070156,0,0,NaN,NaN
240810205070157,81,49,0.6230769230769231,0.3769230769230769
240810205070158,66,19,0.7764705882352941,0.2235294117647059
240810205070159,71,89,0.44375,0.55625
240810205070160,159,98,0.6186770428015564,0.38132295719844356
240810205070161,155,115,0.5740740740740741,0.42592592592592593
240810205070162,135,100,0.574468085106383,0.425531914893617
240810205070163,48,37,0.5647058823529412,0.43529411764705883
240810205070164,183,81,0.6931818181818182,0.3068181818181818
240810205070165,120,83,0.5911330049261084,0.4088669950738916
240810205070166,175,115,0.603448275862069,0.39655172413793105
240810205070167,69,51,0.575,0.425
240810205070168,91,87,0.5112359550561798,0.4887640449438202
240810205070169,105,83,0.5585106382978723,0.44148936170212766
240810205070170,47,37,0.5595238095238095,0.44047619047619047
240810205070171,34,20,0.6296296296296297,0.37037037037037035
240810205070172,96,109,0.4682926829268293,0.5317073170731708
240810205070173,95,82,0.536723163841808,0.4632768361581921
240810205070174,62,44,0.5849056603773585,0.41509433962264153
240810205070175,88,43,0.6717557251908397,0.3282442748091603
240810205070176,196,124,0.6125,0.3875
240810205070177,100,66,0.6024096385542169,0.39759036144578314
240810205070178,141,84,0.6266666666666667,0.37333333333333335
240810205070179,102,64,0.6144578313253012,0.3855421686746988
240810205070180,323,104,0.7564402810304449,0.24355971896955503
240810205070181,119,93,0.5613207547169812,0.4386792452830189
240810205070182,201,240,0.4557823129251701,0.54421768707483
240810205070183,240,140,0.631578947368421,0.3684210526315789
240810205070184,247,129,0.6569148936170213,0.34308510638297873
240810205070185,186,85,0.6863468634686347,0.31365313653136534
240810205070186,124,48,0.7209302325581395,0.27906976744186046
240810205070187,165,86,0.6573705179282868,0.3426294820717131
240810205070188,282,192,0.5949367088607594,0.4050632911392405
240810205070189,135,70,0.6585365853658537,0.34146341463414637
240810205070190,173,85,0.6705426356589147,0.32945736434108525
240810205070191,96,41,0.7007299270072993,0.29927007299270075
240810205080001,165,182,0.4755043227665706,0.5244956772334294
240810205080002,0,0,NaN,NaN
240810205080003,103,90,0.533678756476684,0.46632124352331605
